index;x;y;z
510;-0.506210;-0.928375;-0.308350
511;-0.279816;-1.009720;-0.223175
512;0.027695;-1.257111;-0.054596
513;-0.404266;-1.471741;-0.112839
514;-0.597137;-1.277969;0.247971
515;-1.204117;-1.306458;0.196747
516;-0.926743;-1.315674;-0.000717
517;-0.499039;-0.880341;-0.133575
518;-0.205704;-0.624710;0.163086
519;-0.144806;-0.011002;0.148132
520;-0.215469;-0.022827;-0.018402
521;-0.300446;-0.216537;-0.531326
522;-0.972488;-1.234558;-1.536606
523;-0.395004;-0.567902;-0.981918
524;-0.732910;-0.680344;0.141785
525;-0.154572;-0.896988;0.880600
526;-0.675278;-0.548355;0.816376
527;-0.660782;-1.194534;0.142151
528;-0.086792;-1.126724;-0.287521
529;-0.363953;-0.577728;-0.111282
530;-0.368637;-0.679504;0.022598
531;-0.121246;-0.708984;-0.050690
532;-0.524124;-1.042068;-0.080200
533;-0.424286;-1.091599;-0.208572
534;0.044174;-1.323395;-0.060684
535;-0.180420;-1.738846;0.099884
536;-0.999451;-0.772064;0.001099
537;-1.328415;-1.430710;0.067688
538;-0.698151;-1.004501;-0.122070
539;-0.181763;-1.033920;0.099121
540;-0.221939;-0.521286;0.140091
541;-0.221313;0.028687;0.075562
542;-0.198441;-0.064682;-0.151245
543;-0.310654;-0.573227;-0.890106
544;-1.327026;-1.249222;-1.134232
545;0.240433;-0.320038;-1.008759
546;-2.051575;-1.578613;0.276367
547;0.066360;0.513290;-0.205765
548;-0.817322;-0.821823;0.555588
549;-0.600037;-1.447357;0.142471
550;-0.182343;-0.889343;-0.163544
551;-0.380936;-0.565002;0.070724
552;-0.268921;-0.743881;0.079437
553;-0.347839;-0.722931;-0.362076
554;-0.368118;-1.038345;-0.121674
555;-0.070496;-1.215073;0.075699
556;-0.372803;-1.144424;-0.368774
557;-0.299072;-1.364349;0.387009
558;-1.079208;-0.915649;0.111877
559;-1.140884;-1.532913;0.028473
560;-0.660278;-1.047272;-0.161392
561;-0.265732;-1.126129;0.058899
562;-0.162949;-0.344345;0.212616
563;-0.195114;0.095123;0.039536
564;-0.165131;-0.124527;-0.145859
565;-0.322784;-0.480499;-0.988647
566;-1.681992;-1.781189;-1.161240
567;0.314575;0.061752;-1.067200
568;-2.258545;-1.832092;-0.632553
569;-0.384720;0.013504;-0.037735
570;-0.673340;-0.972778;0.263458
571;-0.484894;-1.522537;-0.196503
572;-0.297440;-0.748764;-0.085007
573;-0.448975;-0.623520;0.026215
574;-0.121109;-0.683823;0.284607
575;-0.562820;-0.793518;-0.340866
576;-0.222473;-1.074738;-0.280365
577;-0.040604;-1.145859;-0.064041
578;-0.413544;-1.397919;-0.238770
579;-0.257080;-1.358582;0.320816
580;-1.227539;-1.191238;0.500931
581;-1.078522;-1.335953;0.011124
582;-0.479401;-0.887131;-0.082748
583;-0.308670;-0.797714;0.113419
584;-0.082794;-0.114288;0.150391
585;-0.207626;0.078232;0.048691
586;-0.253433;-0.197876;-0.419815
587;-0.632782;-1.297195;-1.677750
588;-0.631073;-0.734680;-0.898468
589;-0.575607;-0.577820;-0.445740
590;-0.395157;-1.295563;0.583237
591;-0.580154;-0.581711;0.889847
592;-0.674774;-1.192108;0.167419
593;-0.346100;-1.186310;-0.272141
594;-0.360504;-0.563538;-0.197327
595;-0.408630;-0.668198;-0.106827
596;-0.073624;-0.670105;0.251648
597;-0.669037;-0.920349;-0.391205
598;-0.242249;-1.106995;-0.157471
599;-0.021622;-1.285049;-0.075699
600;-0.285385;-1.543610;-0.040756
601;-0.601257;-1.194443;0.249619
602;-1.234192;-1.237350;0.257172
603;-0.902466;-1.284058;-0.062958
604;-0.377579;-0.809448;-0.028580
605;-0.185898;-0.714874;0.084106
606;-0.186554;-0.152222;0.133102
607;-0.303558;0.022095;-0.025162
608;-0.231918;-0.280731;-0.459595
609;-0.956497;-1.016251;-1.554123
610;-0.357452;-0.946609;-1.046371
611;-0.828262;-0.734299;-0.351685
612;-0.362839;-0.878693;0.621536
613;-0.746918;-0.458786;0.748413
614;-0.548767;-1.202759;0.230453
615;-0.264984;-1.181091;-0.237411
616;-0.302200;-0.591248;-0.167435
617;-0.399384;-0.698578;-0.079483
618;-0.147415;-0.682053;0.108719
619;-0.604156;-0.911499;-0.133911
620;-0.234634;-1.164642;-0.229431
621;0.015350;-1.311935;0.082733
622;-0.300690;-1.612076;0.165298
623;-0.686356;-1.091156;0.167160
624;-1.240219;-1.207611;0.256256
625;-0.873108;-1.245544;0.001617
626;-0.435150;-0.862671;-0.064911
627;-0.223801;-0.792007;0.135513
628;-0.187622;-0.023010;0.144119
629;-0.122757;-0.054947;-0.053528
630;-0.265472;-0.352707;-0.481766
631;-0.927704;-0.861877;-1.498016
632;-0.268921;-0.881073;-1.013885
633;-1.260757;-0.963364;-0.063705
634;0.060028;-0.046753;0.641586
635;-0.939148;-0.722244;0.914383
636;-0.546219;-1.301926;0.070114
637;-0.253540;-1.062469;-0.165741
638;-0.284088;-0.592667;-0.109573
639;-0.345215;-0.759857;-0.078995
640;-0.136261;-0.605072;0.052811
641;-0.632172;-0.952148;-0.061157
642;-0.232376;-1.166946;-0.189911
643;0.005463;-1.350693;-0.123688
644;-0.168762;-1.731903;0.307709
645;-1.029190;-0.861313;0.164429
646;-1.259857;-1.495377;0.122253
647;-0.674179;-1.177429;-0.056747
648;-0.320175;-1.014725;0.020386
649;-0.196411;-0.404694;0.257507
650;-0.185287;-0.004288;0.078339
651;-0.118393;-0.038025;-0.125015
652;-0.399155;-0.419861;-0.671448
653;-1.079239;-1.247650;-1.461334
654;-0.270798;-0.300003;-0.819534
655;-1.334579;-1.406464;0.454239
656;-0.131363;0.055573;0.211029
657;-0.658615;-0.737244;0.774582
658;-0.628098;-1.309769;0.220169
659;-0.181732;-0.940292;-0.167725
660;-0.314575;-0.585648;0.039581
661;-0.310745;-0.745590;0.080719
662;-0.322510;-0.677948;-0.229553
663;-0.410065;-1.056183;-0.101379
664;-0.281418;-1.090042;-0.076508
665;-0.066177;-1.262253;-0.207123
666;-0.369583;-1.515717;0.199448
667;-1.069412;-0.969254;0.139908
668;-1.233917;-1.439560;0.082397
669;-0.650681;-0.912460;-0.207764
670;-0.267242;-1.023193;0.081497
671;-0.109146;-0.372482;0.226456
672;-0.245682;0.103806;0.081558
673;-0.190094;-0.127228;-0.138763
674;-0.485031;-0.710709;-1.204147
675;-1.117218;-1.278412;-1.148895
676;0.065216;-0.134872;-0.985901
677;-2.360489;-2.042847;-0.816528
678;-0.339203;0.074814;-0.163620
679;-0.658142;-0.912079;0.248703
680;-0.308762;-1.581757;-0.323318
681;-0.271332;-0.700424;-0.251007
682;-0.443253;-0.557388;-0.090408
683;-0.155167;-0.716736;0.195587
684;-0.568298;-0.868790;-0.384109
685;-0.258194;-1.062653;-0.227127
686;0.025696;-1.220642;0.019836
687;-0.463593;-1.504333;-0.118027
688;-0.566010;-1.225800;0.246384
689;-1.165619;-1.025955;0.347946
690;-0.944305;-1.366302;0.047531
691;-0.361938;-0.890381;-0.080093
692;-0.307968;-0.890991;0.081345
693;-0.122681;-0.125031;0.160934
694;-0.227341;0.106659;0.055283
695;-0.279846;-0.258011;-0.381378
696;-0.846420;-1.153580;-1.634323
697;-0.414505;-0.803802;-0.902084
698;-0.650024;-0.690353;-0.189621
699;-0.531769;-1.017899;0.541061
700;-0.679932;-0.505341;0.679565
701;-0.533478;-1.136200;0.246399
702;-0.097366;-1.158890;-0.388153
703;-0.313034;-0.584351;-0.129532
704;-0.403381;-0.664154;-0.081467
705;-0.099228;-0.723343;0.019043
706;-0.524567;-0.855545;0.006088
707;-0.333939;-1.131821;-0.283157
708;0.129532;-1.425171;0.135483
709;-0.445816;-1.481918;-0.092316
710;-0.501755;-1.266037;0.391006
711;-1.144440;-1.105408;0.296936
712;-0.920807;-1.419815;0.029724
713;-0.438644;-0.913528;-0.089813
714;-0.328934;-0.678925;0.213898
715;-0.085266;-0.076157;0.103928
716;-0.210510;0.016144;0.012848
717;-0.236969;-0.250214;-0.540573
718;-0.801270;-1.332230;-1.541687
719;-0.509827;-0.635284;-0.920288
